threshold,full_model,clinical_proxy,treat_all,treat_none
0.01,0.5507795344751867,0.5498462889767238,0.5498462889767238,0.0
0.02,0.5423691215616682,0.5453637976929903,0.5452528837622006,0.0
0.03,0.5284625728372926,0.5417413715822501,0.5405647691618108,0.0
0.04,0.519927536231884,0.5375905797101449,0.5357789855072463,0.0
0.05,0.5174485125858124,0.534324942791762,0.5308924485125859,0.0
0.060000000000000005,0.5145698427382054,0.5300647548566143,0.5259019426456985,0.0
0.06999999999999999,0.5067204301075269,0.520687237026648,0.5208041140719963,0.0
0.08,0.499054820415879,0.5191398865784499,0.5155954631379962,0.0
0.09,0.49647634973721927,0.5161251791686574,0.5102723363592929,0.0
0.09999999999999999,0.4945652173913043,0.5126811594202898,0.5048309178743962,0.0
0.11,0.4928553981436248,0.5092818759159746,0.4992672203224231,0.0
0.12,0.48987154150197626,0.5059288537549407,0.49357707509881427,0.0
0.13,0.4868190904547726,0.5026236881559221,0.4877561219390305,0.0
0.14,0.48546511627906974,0.49304853387259856,0.48179979777553084,0.0
0.15000000000000002,0.4833759590792839,0.48976982097186694,0.47570332480818417,0.0
0.16,0.4824016563146998,0.48964803312629396,0.4694616977225673,0.0
0.17,0.47400471451021475,0.4889339968569931,0.463069669984285,0.0
0.18000000000000002,0.473356309650053,0.4807794273594909,0.4565217391304348,0.0
0.19,0.47041062801932365,0.4726918947933441,0.44981213097155126,0.0
0.2,0.4701086956521739,0.47010869565217395,0.4429347826086957,0.0
0.21000000000000002,0.46718492019812874,0.4675976884975234,0.43588332416070447,0.0
0.22,0.46418617614269786,0.4651616499442587,0.4286510590858417,0.0
0.23,0.4659796725014116,0.46442687747035577,0.42123094297007346,0.0
0.24000000000000002,0.4648169336384439,0.4622425629290618,0.41361556064073224,0.0
0.25,0.4655797101449275,0.46014492753623193,0.4057971014492754,0.0
0.26,0.4628378378378378,0.4600470035252644,0.39776733254994123,0.0
0.27,0.46002084574151275,0.4622543180464562,0.3895175699821323,0.0
0.28,0.4571256038647342,0.44233091787439605,0.3810386473429952,0.0
0.29000000000000004,0.45636864666258414,0.43860992039191665,0.3723208818126148,0.0
0.3,0.4479813664596274,0.4347826086956521,0.36335403726708076,0.0
0.31,0.44494328922495274,0.43328607435412725,0.354127284183995,0.0
0.32,0.44181585677749363,0.4239130434782609,0.3446291560102302,0.0
0.33,0.43316028552887736,0.4225340687865023,0.33484750162232313,0.0
0.34,0.4298418972332016,0.4212779973649539,0.32476943346508563,0.0
0.35000000000000003,0.4322742474916388,0.41471571906354515,0.31438127090301005,0.0
0.36000000000000004,0.4290081521739131,0.41372282608695654,0.30366847826086957,0.0
0.37,0.42020358868184954,0.40967908902691513,0.2926155969634231,0.0
0.38,0.41129032258064513,0.4055049088359046,0.2812061711079944,0.0
0.39,0.40769779044903776,0.3957590876692801,0.2694226657163222,0.0
0.4,0.4076086956521739,0.38586956521739124,0.2572463768115942,0.0
0.41000000000000003,0.39848931466470155,0.37582903463522477,0.2446573323507738,0.0
0.42000000000000004,0.387743628185907,0.36019490254872566,0.2316341829085457,0.0
0.43,0.3839626239511823,0.35526315789473684,0.21815408085430976,0.0
0.44,0.3800465838509317,0.34899068322981364,0.204192546583851,0.0
0.45,0.3759881422924901,0.3438735177865613,0.18972332015810284,0.0
0.46,0.3717793880837359,0.33313204508856686,0.17471819645732695,0.0
0.47000000000000003,0.36197703035274814,0.3276251025430681,0.1591468416735029,0.0
0.48000000000000004,0.3574414715719063,0.3219063545150502,0.14297658862876256,0.0
0.49,0.35794970161977835,0.30509377664109116,0.12617220801364032,0.0
0.5,0.3532608695652174,0.3043478260869565,0.10869565217391308,0.0
0.51,0.34838065661047024,0.29835847382431235,0.09050576752440109,0.0
0.52,0.34329710144927533,0.2980072463768116,0.07155797101449274,0.0
0.53,0.34412580943570764,0.2924375578168362,0.05180388529139679,0.0
0.54,0.3397920604914934,0.3052930056710775,0.031190926275992403,0.0
0.55,0.33454106280193235,0.306159420289855,0.009661835748792202,0.0
0.56,0.3290513833992095,0.2949604743083004,-0.012845849802371578,0.0
0.5700000000000001,0.32330637007077856,0.3033367037411526,-0.03640040444893844,0.0
0.5800000000000001,0.317287784679089,0.3071946169772256,-0.06107660455486552,0.0
0.59,0.3109756097560976,0.301829268292683,-0.08695652173913027,0.0
0.6,0.3206521739130435,0.30434782608695654,-0.11413043478260854,0.0
0.61,0.31438127090301005,0.3072742474916388,-0.14269788182831655,0.0
0.62,0.30778032036613273,0.3052059496567506,-0.1727688787185354,0.0
0.63,0.30082256169212696,0.3036133960047004,-0.20446533490011742,0.0
0.64,0.2880434782608695,0.29830917874396135,-0.2379227053140096,0.0
0.65,0.28027950310559,0.28649068322981364,-0.2732919254658386,0.0
0.66,0.27205882352941174,0.2755754475703325,-0.3107416879795397,0.0
0.67,0.2854084321475625,0.27536231884057966,-0.35046113306982885,0.0
0.68,0.27173913043478254,0.26970108695652173,-0.392663043478261,0.0
0.6900000000000001,0.26963534361851327,0.2636746143057503,-0.43758765778401143,0.0
0.7000000000000001,0.26086956521739124,0.24094202898550723,-0.48550724637681175,0.0
0.7100000000000001,0.2406296851574212,0.24737631184407793,-0.5367316341829089,0.0
0.72,0.21972049689440998,0.26319875776397517,-0.591614906832298,0.0
0.73,0.2236312399355878,0.24114331723027377,-0.650563607085346,0.0
0.74,0.19648829431438128,0.24498327759197325,-0.7140468227424748,0.0
0.75,0.17934782608695649,0.2554347826086957,-0.7826086956521738,0.0
0.76,0.1666666666666666,0.25181159420289856,-0.8568840579710146,0.0
0.77,0.15288279773156893,0.24787334593572777,-0.9376181474480152,0.0
0.78,0.14624505928853754,0.22183794466403162,-1.0256916996047432,0.0
0.79,0.14596273291925463,0.2116977225672878,-1.122153209109731,0.0
0.8,0.13043478260869562,0.2282608695652174,-1.2282608695652177,0.0
0.81,0.10240274599542332,0.23083524027459953,-1.3455377574370715,0.0
0.8200000000000001,0.07789855072463758,0.22765700483091786,-1.47584541062802,0.0
0.8300000000000001,0.045716112531969166,0.20236572890025575,-1.6214833759590803,0.0
0.8400000000000001,0.05027173913043459,0.18749999999999997,-1.7853260869565233,0.0
0.85,0.050724637681159424,0.2028985507246377,-1.9710144927536226,0.0
0.86,0.024844720496894457,0.22826086956521738,-2.183229813664596,0.0
0.87,-0.01588628762541805,0.22282608695652173,-2.4280936454849495,0.0
0.88,-0.02173913043478265,0.21739130434782608,-2.7137681159420293,0.0
0.89,-0.0256916996047431,0.20652173913043478,-3.0513833992094863,0.0
0.9,-0.07065217391304357,0.19021739130434784,-3.456521739130435,0.0
0.91,-0.08031400966183588,0.1793478260869565,-3.9516908212560398,0.0
0.92,-0.1548913043478264,0.15760869565217392,-4.570652173913047,0.0
0.93,-0.17236024844720527,0.14130434782608695,-5.366459627329197,0.0
0.9400000000000001,-0.2608695652173918,0.09782608695652174,-6.427536231884064,0.0
0.95,0.03260869565217411,0.07065217391304347,-7.91304347826086,0.0
